Update: QualifiedName|#|org.neo4j.kernel.impl.storemigration.StoreVersionCheck.Result.Outcome
Insert: SimpleName|#|thenReturn
Insert: ImportDeclaration
Insert: ImportDeclaration
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|thenReturn
Insert: SimpleName|#|thenReturn
Insert: MethodInvocation|#|thenReturn
Insert: SimpleName|#|thenReturn
Insert: MethodInvocation|#|thenReturn
Delete: ImportDeclaration
Delete: ImportDeclaration
Delete: MethodInvocation|#|thenReturn
Delete: SimpleName|#|thenReturn
Delete: MethodInvocation|#|thenReturn
Delete: MethodInvocation|#|anyString
Delete: SimpleName|#|thenReturn
Delete: MethodInvocation|#|thenReturn
Delete: MethodInvocation|#|of
