Update: QualifiedName|#|org.neo4j.helpers.collection.MapUtil
Insert: ImportDeclaration
Insert: Modifier|#|public
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|indexContaining
Insert: StringLiteral|#|"propertyValue"
Insert: MethodInvocation|#|indexedMultipleTimes
Insert: MethodDeclaration
Insert: Modifier|#|public
Insert: VariableDeclarationStatement
Insert: IfStatement
Insert: ReturnStatement
Insert: VariableDeclarationStatement
Insert: ForStatement
Insert: IfStatement
Insert: PostfixExpression|#|++
Insert: ReturnStatement
Delete: MethodDeclaration
Delete: Modifier|#|public
Delete: VariableDeclarationStatement
Delete: IfStatement
Delete: ReturnStatement
Delete: ForStatement
Delete: IfStatement
Delete: ReturnStatement
Delete: ReturnStatement
