Update: NumberLiteral|#|56
Insert: MethodInvocation|#|assertEquals
Insert: MethodInvocation|#|validateError
Insert: MethodInvocation|#|validateError
Insert: MethodInvocation|#|validateError
Insert: MethodInvocation|#|validateError
Insert: MethodInvocation|#|validateError
Insert: Assignment|#|+=
Insert: MethodInvocation|#|validateError
Insert: MethodInvocation|#|validateError
Insert: MethodInvocation|#|validateError
Delete: MethodInvocation|#|assertEquals
Delete: MethodInvocation|#|validateError
Delete: Assignment|#|+=
Delete: MethodInvocation|#|validateError
Delete: MethodInvocation|#|validateError
Delete: Assignment|#|+=
Delete: MethodInvocation|#|validateError
Delete: MethodInvocation|#|validateError
Delete: MethodInvocation|#|validateError
Delete: MethodInvocation|#|validateError
Delete: MethodInvocation|#|validateError
Delete: Assignment|#|+=
Delete: MethodInvocation|#|validateError
Delete: NumberLiteral|#|24
