Update: QualifiedName|#|org.ballerinalang.jvm.BRuntime
Insert: ImportDeclaration
Insert: ImportDeclaration
Insert: ImportDeclaration
Insert: VariableDeclarationStatement
Insert: VariableDeclarationStatement
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|invokeFunctionPointerAsyncIteratively
Insert: SimpleName|#|invokeFunctionPointerAsyncIteratively
Insert: LambdaExpression
Insert: MethodInvocation|#|get
Insert: ExpressionMethodReference
Insert: ReturnStatement
Delete: VariableDeclarationStatement
Delete: EnhancedForStatement
Delete: Assignment|#|=
Delete: ReturnStatement
