Update: QualifiedName|#|com.yahoo.vespa.hosted.controller.integration.ZoneApiMock
Insert: ImportDeclaration
Insert: Modifier|#|public
Insert: VariableDeclarationStatement
Insert: VariableDeclarationStatement
Insert: VariableDeclarationStatement
Insert: VariableDeclarationStatement
Insert: ClassInstanceCreation
Insert: MethodInvocation|#|of
Insert: MethodInvocation|#|of
Insert: VariableDeclarationStatement
Insert: ClassInstanceCreation
Insert: MethodInvocation|#|of
Insert: MethodInvocation|#|of
Insert: VariableDeclarationStatement
Insert: VariableDeclarationStatement
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|hasSize
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|containsOnly
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|hasSize
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|containsOnly
