Update: QualifiedName|#|org.neo4j.helpers.collection.MapUtil
Insert: ImportDeclaration
Insert: Modifier|#|public
Insert: VariableDeclarationStatement
Insert: MethodInvocation|#|indexContaining
Insert: StringLiteral|#|"propertyValue"
Insert: MethodInvocation|#|indexedMultipleTimes
Insert: MethodDeclaration
Insert: Modifier|#|public
Insert: VariableDeclarationStatement
Insert: IfStatement
Insert: ReturnStatement
Insert: VariableDeclarationStatement
Insert: ForStatement
Insert: IfStatement
Insert: PostfixExpression|#|++
Insert: ReturnStatement
Insert: MethodInvocation|#|indexContaining
Insert: MethodDeclaration
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: IfStatement
