Update: QualifiedName|#|org.apache.lucene.search.Explanation
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: CastExpression
Insert: InfixExpression|#|+
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: Modifier|#|public
Insert: IfStatement
Insert: ReturnStatement
Insert: ImportDeclaration
Insert: ImportDeclaration
Insert: ReturnStatement
Insert: ImportDeclaration
Insert: TypeDeclaration
Insert: FieldDeclaration
Insert: MethodDeclaration
Insert: SuperConstructorInvocation
Insert: MethodDeclaration
Insert: SuperConstructorInvocation
Insert: MethodDeclaration
Insert: SuperConstructorInvocation
Insert: Modifier|#|protected
Insert: ReturnStatement
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: TypeDeclaration
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: CastExpression
Insert: InfixExpression|#|+
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: Modifier|#|public
Insert: IfStatement
Insert: ReturnStatement
Insert: ImportDeclaration
Insert: ReturnStatement
Insert: FieldDeclaration
Insert: MethodDeclaration
Insert: SuperConstructorInvocation
Insert: MethodDeclaration
Insert: SuperConstructorInvocation
Insert: Modifier|#|protected
Insert: ReturnStatement
Insert: Modifier|#|public
Insert: ReturnStatement
Insert: TypeDeclaration
Insert: Modifier|#|public
Insert: ReturnStatement
