Update: QualifiedName|#|alluxio.master.file.options.CreateFileOptions
Insert: ImportDeclaration
Insert: FieldDeclaration
Insert: FieldDeclaration
Insert: FieldDeclaration
Insert: Assignment|#|=
Insert: SimpleName|#|setPermissionStatus
Insert: Assignment|#|=
Insert: SimpleName|#|setPermissionStatus
Insert: Assignment|#|=
Insert: SimpleName|#|setPermissionStatus
Insert: MethodInvocation|#|createPath
Insert: MethodInvocation|#|createPath
Insert: MethodInvocation|#|createPath
Insert: SimpleName|#|setPermissionStatus
Insert: Assignment|#|=
Insert: SimpleName|#|setPermissionStatus
Insert: MethodInvocation|#|createPath
