Update: QualifiedName|#|com.google.common.collect.ImmutableList
Insert: ImportDeclaration
Insert: ImportDeclaration
Insert: FieldDeclaration
Insert: MethodDeclaration
Insert: ConstructorInvocation
Insert: ConstructorInvocation
Insert: MethodDeclaration
Insert: MethodInvocation|#|requireNonNull
Insert: Assignment|#|=
Insert: ReturnStatement
Insert: VariableDeclarationStatement
Insert: ReturnStatement
Insert: ReturnStatement
Insert: ConstructorInvocation
Insert: ConstructorInvocation
Insert: Assignment|#|=
Insert: VariableDeclarationStatement
Insert: ReturnStatement
Insert: ReturnStatement
